,Unnamed: 0,Name,Cusines,Dining_style,Phone number,Website,Payment Options,Address,City,PostCode,website_status,Online_order,online_order
155,223,"
Buonasera
","Italian, Pizzeria",Casual Dining,+44 20 7228 9925,http://buonasera.co.uk/,"Mastercard, Visa","
22-26 Northcote Road", London," SW11 1NX
",True,False,False
156,224,"
The Jam
",Italian,Casual Dining,+44 20 7352 8827,http://www.buonaseraatthejam.co.uk/,"AMEX, Mastercard, Visa","
289A Kings Road", London," SW3 5EW
",True,False,False
157,226,"
Picture Fitzrovia
",Modern European,Casual Dining,+44 20 7637 7892,http://picturerestaurant.co.uk/,"AMEX, Mastercard, Visa","
110 Great Portland Street", London," W1W 6PQ
",True,False,False
158,227,"
Red Rooster Shoreditch
","Soul food, South American, Comfort food",Casual Dining,+44 20 3146 4545,http://www.thecurtain.com/,"AMEX, Mastercard, Visa","
45 Curtain Road", London," EC2A 3PT
",True,False,False
160,229,"
Cattle & Co.
","Barbecue, Bar / Lounge / Bottle Service, American",Casual Dining,+44 20 7693 7278,http://www.cattleandco.com/,"Mastercard, Visa","
3-9 Chalton Street", London," NW1 1JD
",True,False,False
161,231,"
Pho House Highbury
",Vietnamese,Casual Dining,+44 20 7697 9889,http://www.phohouse.uk/,"Mastercard, Visa","
39 Holloway Road", London," N7 8JP
",True,False,False
162,232,"
Village Masaleh
",Indian,Casual Dining,+44 20 8623 9898,http://www.village-masaleh.co.uk/,"Mastercard, Visa","
182A Norwood Road", London," SE27 9AU
",True,False,False
163,233,"
Efes Meze
","Turkish, Mediterranean, Greek",Casual Dining,+44 20 8293 0626,http://www.efesmeze.com/,"Mastercard, Visa","
Efes Meze", London," SE10 9TZ
",True,False,False
164,234,"
Demartino
",Italian,Casual Dining,+44 20 7436 2547,http://www.demartino.co.uk/,"AMEX, Mastercard, Visa","
196-198 Great Portland Street", London," W1W 5QF
",True,False,False
165,235,"
Eneko – Basque Kitchen & Bar
","Basque, Spanish",Casual Dining,+44 20 7300 0300,http://www.eneko.london/,"AMEX, Mastercard, Visa","
One Aldwych", London," WC2B 4BZ
",True,False,False
166,236,"
Craft London
","British, Vegetarian, Contemporary British",Casual Dining,+44 20 8465 5910,http://www.craft-london.co.uk/,"Mastercard, Visa","
Pennisula Square", London," SE10 0SQ
",True,False,False
167,237,"
Hack & Veldt
","European, Deli, Wine Bar",Casual Dining,+44 20 8742 0563,http://hackandveldt.com/,"Mastercard, Visa","
94 Turnham Green Terrace", London," W4 1QN
",True,False,False
168,238,"
Al Basha
","Middle Eastern, Lebanese, Egyptian",Casual Dining,+44 20 7245 6000,http://www.albasha.uk/,"AMEX, Mastercard, Visa","
48 Knightsbridge", London," SW1X 7JN
",True,False,False
169,240,"
Mother Mash Carnaby
",British,Casual Dining,+44 20 7494 9644,http://www.mothermash.co.uk/,"AMEX, Diners Club, Mastercard, Visa","
26 Ganton Street", London," W1F 7QZ
",True,False,False
170,243,"
ULI
","Asian, Chinese, Thaï",Casual Dining,+44 20 3141 5878,http://ulilondon.com/,"AMEX, Mastercard, Visa","
5 Ladbroke Road", London," W11 3PA
",True,False,False
171,245,"
Carousel
",Contemporary European,Casual Dining,+44 20 7487 5564,http://www.carousel-london.com/,"Mastercard, Visa","
71 Blandford Street Mayfair", London," W1U 8AB
",True,False,False
173,247,"
O Ver Borough
",Italian,Casual Dining,+44 20 7378 9933,http://www.overuk.com/,"AMEX, Cash not accepted, Mastercard, Visa","
44-46 Southwark Street", London," SE1 1UN
",True,False,False
174,248,"
Gotto Trattoria
",Italian,Casual Dining,+44 20 3424 5035,http://www.gotto.co.uk/,"AMEX, Mastercard, Visa","
Canalside 27 East Bay Lane", London," E20 3BS
",True,False,False
175,249,"
Clipstone
","Modern European, Contemporary British",Casual Dining,+44 20 7637 0871,http://www.clipstonerestaurant.co.uk/,"AMEX, Mastercard, Visa","
Bolsover House", London," W1W 6BB
",True,False,False
176,250,"
Breddos Tacos Clerkenwell
","Mexican, Tapas / Small Plates, Unspecified",Casual Dining,+44 20 3535 8301,http://www.breddostacos.com/,"AMEX, Mastercard, Visa","
82 Goswell Road", London," EC1V 7DB
",True,False,False
177,251,"
Sultan Sofrasi
",Turkish,Casual Dining,+44 20 8983 9784,http://www.sultansofrasi.co.uk/,"Mastercard, Visa","
72 Parnell Road Bow Church", London," E3 2RU
",True,False,False
178,252,"
Suvlaki Soho
","Greek, Barbecue, Mediterranean",Casual Dining,+44 20 7000 0000,http://www.suvlaki.co.uk/,"Mastercard, Visa","
21 Bateman Street", London," W1D 3AL
",True,False,False
179,253,"
Florentine Trattoria
","Italian, Pizzeria",Casual Dining,+44 20 3146 5800,http://www.florentinerestaurant.co.uk/,"AMEX, Diners Club, Discover, JCB, Mastercard, Visa","
6 Hercules Road", London," SE1 7DP
",True,False,False
181,255,"
Pho House Kingsland
",Vietnamese,Casual Dining,+44 20 7033 0588,http://www.phohouse.uk/,"Mastercard, Visa","
102 Kingsland Road", London," E2 8DP
",True,False,False
182,257,"
Meridionale
","Italian, Pizzeria, Regional American (Southern)",Casual Dining,+44 20 3105 1699,http://www.meridionale.london/,"AMEX, Mastercard, Visa","
311 New Kings Road", London," SW6 4RF
",True,False,False
183,258,"
Oldroyd
","European, Modern European",Casual Dining,+44 20 8617 9010,http://www.oldroydlondon.com/,"AMEX, Mastercard, Visa","
344 Upper Street", London," N1 0PD
",True,False,False
184,259,"
Picture Marylebone
",Modern European,Casual Dining,+44 20 7935 0058,http://picturerestaurant.co.uk/,"AMEX, Mastercard, Visa","
19 New Cavendish Street", London," W1G 9TZ
",True,False,False
186,263,"
Big Catch
","Fish, British",Casual Dining,+44 20 8663 6635,http://www.bigcatchbeckenham.com/,"JCB, Mastercard, Visa","
202-204 High Street", London," BR3 1EN
",True,False,False
188,267,"
Kasturi Restaurant
",Indian,Casual Dining,+44 20 8319 3439,http://www.kasturi-restaurant.co.uk/index.asp,"Mastercard, Visa","
10 The Village", London," SE7 8UD
",True,False,False
190,273,"
The Chelsea Cellar
",Italian,Casual Dining,+44 20 7351 4933,http://www.thechelseacellar.co.uk/,"AMEX, Mastercard, Visa","
9 Park Walk", London," SW10 0AJ
",True,False,False
191,274,"
Afternoon Tea at The May Fair Hotel
","Afternoon Tea, British",Casual Dining,+44 20 7915 3894,https://www.thekitchensrestaurants.co.uk/may-fair-kitchen,"AMEX, Mastercard, Visa","
Stratton Street", London," W1J 8LT
",True,False,False
192,275,"
Afternoon Tea at Leicester Square Kitchen
","Unspecified, Mexican, Peruvian",Casual Dining,+44 20 7666 0902,https://www.thekitchensrestaurants.co.uk/leicester-square-kitchen,"AMEX, Mastercard, Visa","
31-36 Leicester Square", London," WC2H 7LH
",True,False,False
193,276,"
Spiritland King's Cross
",Modern European,Casual Dining,+44 20 3319 0050,http://www.spiritland.com/,"AMEX, Mastercard, Visa","
9-10 Stable Street", London," N1C 4AB
",True,False,False
195,279,"
Bar20 at Birleys
","British, European",Casual Dining,+44 20 7929 1849,http://www.bar20.co.uk/,"AMEX, Diners Club, Mastercard, Visa","
20 Fenchurch Street Pocket Park", London," EC3M 3BY
",True,False,False
196,281,"
Evans & Peel Detective Agency
","Cocktail bar, Tapas / Small Plates, Speakeasy",Casual Dining,+44 20 7370 5378,http://www.evansandpeel.com/,"AMEX, Diners Club, Mastercard, Visa","
310C Earls Court Road", London," SW5 9BA
",True,False,False
197,283,"
SMOKESTAK
",Barbecue,Casual Dining,+44 20 3873 1733,http://smokestak.co.uk/,"AMEX, Mastercard, Visa","
35 Sclater St", London," E1 6LB
",True,False,False
198,284,"
Sakagura
","Japanese, Sushi, Barbecue",Casual Dining,+44 20 3405 7230,http://www.sakaguralondon.com/,"AMEX, JCB, Mastercard, Visa","
8 Heddon Street", London," W1B 4BS
",True,False,False
200,287,"
Signoria
",Italian,Casual Dining,+44 20 7564 3800,http://www.signoria.co.uk/home.html,"AMEX, Diners Club, Mastercard, Visa","
53 Lordship Lane East Dulwich", London," SE22 8EP
",True,False,False
201,288,"
Melanzana
","Italian, Pizzeria",Casual Dining,+44 20 7228 5420,http://www.melanzana.co.uk/,"AMEX, Diners Club, Discover, JCB, Mastercard, Visa","
140 Westbridge Road", London," SW11 3PF
",True,False,False
202,289,"
Sowa Restaurant & Patisserie
","Italian, Pizzeria",Casual Dining,+44 20 7228 5420,http://www.melanzana.co.uk/,"Mastercard, Visa","
32-33 High Street", London," W5 5DB
",True,False,False
203,290,"
Lobos Meat & Tapas - Soho
","Spanish, Tapas / Small Plates",Casual Dining,+44 20 3019 5082,http://www.lobostapas.co.uk/,"AMEX, Mastercard","
48 Frith Street", London," W1D 4SF
",True,False,False
204,291,"
Trio Pizzeria
",Italian,Casual Dining,+44 20 8835 8455,http://www.triopizzeria-uk.com/,"AMEX, Mastercard, Visa","
19 The High Parade", London," SW16 1EX
",True,False,False
206,296,"
Booma
","Contemporary Indian, Indian, Bar / Lounge / Bottle Service",Casual Dining,+44 20 7737 4999,http://www.booma-brixton.co.uk/,"AMEX, Mastercard, Visa","
244 Brixton Road", London," SW9 6AH
",True,False,False
207,297,"
Bacaro
",Italian,Casual Dining,+44 20 8980 0111,http://www.bacaro387.co.uk/,"Mastercard, Visa","
387 Roman Road", London," E3 5QR
",True,False,False
208,299,"
Afternoon Tea at Aster Cafe
","Afternoon Tea, Contemporary French, Contemporary European",Casual Dining,+44 20 3875 5555,http://aster-restaurant.com/,"Mastercard, Visa","
150 Victoria Street", London," SW1E 5LB
",True,False,False
209,300,"
Casa Tua King's Cross
","Italian, Breakfast, Mediterranean",Casual Dining,+44 20 7833 1483,http://www.casatualondon.com/,"Diners Club, Mastercard, Visa","
106-108 Cromer St", London," WC1H 8BZ
",True,False,False
210,301,"
Rubio
","Pizzeria, Italian",Casual Dining,+44 20 8961 9630,http://www.rubio.co.uk/,"AMEX, Mastercard, Visa","
43 Park Parade", London," NW10 4JD
",True,False,False
211,303,"
Bistro Mirey
","Bistro, French / Japanese, Comfort food",Casual Dining,+44 20 3092 6969,http://www.bistromirey.com/,"AMEX, Mastercard, Visa","
98 Lillie Road", London," SW6 7SR
",True,False,False
213,305,"
The Lion
","Contemporary European, Pizzeria",Casual Dining,+44 20 7623 8468,http://lionec3.co.uk/,"AMEX, Mastercard, Visa","
31 Houndstitch", London," EC3A 7DB
",True,False,False
214,306,"
Bayroot
","Lebanese, European",Casual Dining,+44 20 7998 4030,http://www.bayrootrestaurant.co.uk/,"Diners Club, Mastercard, Visa","
8 Camberwell Road", London," SE5 0EN
",True,False,False
215,307,"
Hammer & Tongs
","Meat, Barbecue, Southern African",Casual Dining,+44 20 3774 2884,http://www.hammertongs.co.uk/,"AMEX, Mastercard, Visa","
171 Farringdon Road", London," EC1R 3AL
",True,False,False
216,308,"
Marsha Soho
","Rotisserie Chicken, Burgers, British",Casual Dining,+44 20 3747 9820,https://www.marshalondon.co.uk/marsha-soho,"AMEX, Mastercard, Visa","
Kingly Court Carnaby Street", London," W1B 5PW
",True,False,False
218,310,"
Arthur Hooper's
","Contemporary European, British",Casual Dining,+44 20 7940 0169,http://arthurhoopers.co.uk/,"Mastercard, Visa","
8 Stoney Street", London," SE1 9AA
",True,False,False
219,311,"
Le Relais de Venise - Soho (London)
","Steak, French, Steakhouse",Casual Dining,+44 20 3475 4202,http://www.relaisdevenise.com/,"AMEX, Mastercard, Visa","
50 Dean St.", London," W1D 5BQ
",True,False,False
220,312,"
Casa Tua Camden
","Italian, Breakfast",Casual Dining,+44 20 8127 0460,http://www.casatualondon.com/,"Diners Club, Mastercard, Visa","
176 Royal College Street", London," NW1 0SP
",True,False,False
222,316,"
Sardine
","French, Mediterranean, European",Casual Dining,+44 20 7490 0144,http://www.sardine.london/,"AMEX, Mastercard, Visa","
15 Micawber Street", London," N1 7TB
",True,False,False
223,317,"
Rail House Victoria
","Modern European, International, Pan-Asian",Casual Dining,+44 20 3906 7950,http://www.riding.house/restaurant/victoria#menus,"AMEX, Mastercard, Visa","
8 Sir Simon Milton Square", London," SW1E 5DJ
",True,False,False
224,318,"
Pho Saigon
","Vietnamese, Asian, Southeast Asian",Casual Dining,+44 20 3659 8143,http://www.phosaigon.co.uk/,"Mastercard, Visa","
41 Bond Street", London," W5 5AS
",True,False,False
225,319,"
L' Antipasto - Battersea
","Vietnamese, Asian, Southeast Asian",Casual Dining,+44 20 3659 8143,http://www.phosaigon.co.uk/,"AMEX, Mastercard, Visa","
511 Battersea Park Road", London," SW11 3BW
",True,False,False
226,321,"
Lena's
","Italian, Pizzeria",Casual Dining,+44 20 7622 2788,http://www.lenasbarandkitchen.co.uk/,"AMEX, Mastercard, Visa","
39 Queenstown Road", London," SW8 3RE
",True,False,False
227,322,"
Yashin Ocean House
","Japanese, Japanese Speciality",Casual Dining,+44 20 7373 3990,http://www.yashinocean.com/,"AMEX, JCB, Mastercard, Visa","
117 - 119 Old Brompton Road", London," SW7 3RN
",True,False,False
228,323,"
Busaba Bangkok Thai – St Christopher’s Place
",Thaï,Casual Dining,+44 20 7518 8080,http://www.busaba.com/,"Mastercard, Visa","
8-13 Bird Street", London," W1U 1BU
",True,False,False
229,326,"
Le Petit Sud
","French, Bistro, Wine Bar",Casual Dining,+44 20 7589 0030,http://www.lepetitsud.co.uk/,"AMEX, Mastercard, Visa","
1D Palace Gate", London," W8 5LS
",True,False,False
230,327,"
Pho & Bun
","Asian, Vietnamese",Casual Dining,+44 20 3230 1086,http://vieteat.co.uk/pho-bun,"AMEX, Mastercard, Visa","
76 Shaftesbury Avenue", London," W1D 6ND
",True,False,False
231,328,"
Viet Eat - Holborn
","Asian, Vietnamese",Casual Dining,+44 20 7404 4138,http://www.vieteat.co.uk/,"AMEX, Diners Club, Mastercard, Visa","
48 Kingsway", London," WC2B 6EP
",True,False,False
232,329,"
Villa Toscana
",Italian,Casual Dining,+44 20 8692 3804,http://www.restaurantvillatoscana.co.uk/,"Mastercard, Visa","
179 Brockley Road", London," SE4 2RS
",True,False,False
233,330,"
The Vault Bar & Lounge at The Ned – Previews
",Italian,Casual Dining,+44 20 3828 2000,http://www.thened.com/restaurants#,"AMEX, Mastercard, Visa","
27 Poultry", London," EC2R 8AJ
",True,False,False
234,332,"
Mattarello Bolognese
","Italian, Contemporary European, Steak",Casual Dining,+44 20 7247 3354,http://www.sfogliabologna.uk/,"AMEX, Diners Club, Discover, JCB, Mastercard, Visa","
3 Middlesex Street", London," E1 7AA
",True,False,False
235,333,"
The Old Bull & Bush
","Gastro Pub, English",Casual Dining,+44 20 8905 5456,https://www.thebullandbush.co.uk/,"Diners Club, Mastercard, Visa","
Elmwood North End Way", London," NW3 7HE
",True,False,False
236,334,"
Chicken Society
",British,Casual Dining,+44 20 8349 1453,http://www.chickensociety.co.uk/,"Mastercard, Visa","
363 Regents Park Road", London," N3 1DH
",True,False,False
237,335,"
Ritorno
","Italian, Bar / Lounge / Bottle Service, Comfort food",Casual Dining,+44 20 3301 6333,http://www.ritorno.co.uk/,"AMEX, Mastercard, Visa","
442 King's Rd", London," SW10 0LQ
",True,False,False
239,339,"
Jashan
",Indian,Casual Dining,+44 20 8340 9880,http://www.jashan.co.uk/,"Mastercard, Visa","
19 Turnpike Lane", London," N8 0EP
",True,False,False
240,340,"
Canada Water Cafe
","Italian, Pizzeria",Casual Dining,+44 20 3668 7518,http://www.canadawatercafe.com/,"AMEX, Mastercard, Visa","
40 Surrey Quays Road", London," SE16 7DX
",True,False,False
241,341,"
Plough Way Cafe
",Italian,Casual Dining,+44 20 7237 1327,http://www.ploughwaycafe.com/,"AMEX, Mastercard, Visa","
1 Seafarer Way", London," SE16 7EZ
",True,False,False
242,342,"
Gurkhas Diner
","Nepalese, Asian",Casual Dining,+44 20 8675 1188,http://gurkhasdiner.co.uk/,"Mastercard, Visa","
1 The Boulevard Balham High Road", London," SW17 7BW
",True,False,False
243,343,"
Belgrave Restaurant
","Persian, Mediterranean, Halal",Casual Dining,+44 20 7624 4242,http://www.belgraverestaurant.com/index.html,"Mastercard, Visa","
1 Belgrave Gardens", London," NW8 0QY
",True,False,False
244,344,"
La Rueda de Tapas
","Tapas / Small Plates, Spanish, Mediterranean",Casual Dining,+44 20 8567 4219,http://www.laruedadetapas.com/,"AMEX, Mastercard, Visa","
12 Bond Street Ealing", London," W5 5AA
",True,False,False
245,347,"
Farmacy
",English,Casual Dining,+44 20 7221 0705,http://www.farmacylondon.com/,"AMEX, Mastercard, Visa","
74 Westbourne Grove", London," W2 5SH
",True,False,False
246,349,"
Estrela Bar
","Portuguese, Tapas / Small Plates",Casual Dining,+44 20 7793 1051,http://estrelabar.com/,"AMEX, Mastercard, Visa","
111 South Lambeth Road", London," SW8 1UZ
",True,False,False
247,350,"
Blacklock City
","Steak, Barbecue, British",Casual Dining,+44 20 7998 7676,http://theblacklock.com/,"AMEX, Mastercard, Visa","
13 Philpot Lane", London," EC3M 8AA
",True,False,False
249,352,"
Tamarind Kitchen Soho
",Indian,Casual Dining,+44 20 7287 4243,http://www.tamarindkitchen.co.uk/,"AMEX, Mastercard, Visa","
167-169 Wardour Street", London," W1F 8WR
",True,False,False
251,354,"
Comptoir Libanais - Poland Street
","Lebanese, Middle Eastern, Comfort food",Casual Dining,+44 20 7434 4335,http://www.comptoirlibanais.com/,"AMEX, Mastercard, Visa","
52 Poland Street", London," W1F 7NQ
",True,False,False
252,355,"
Busaba Eathai - Leicester Square
","Thaï, Fusion / Eclectic",Casual Dining,+44 20 7930 0088,http://www.busaba.com/locations/busaba-leicester-square,"Mastercard, Visa","
35 Panton Street", London," SW1Y 4EA
",True,False,False
253,357,"
Meet District
","Contemporary British, Steakhouse",Casual Dining,+44 20 7564 7215,http://www.meetdistrict.co.uk/,"AMEX, Mastercard, Visa","
125 Queens Road Peckham", London," SE15 2ND
",True,False,False
254,358,"
The Little Square
","International, Modern European",Casual Dining,+44 20 7355 2101,http://www.thelittlesquare.co.uk/,"AMEX, Mastercard, Visa","
3 Shepherd Market", London," W1J 7PB
",True,False,False
255,359,"
Kappa Sushi
",Sushi,Casual Dining,+44 20 7244 9196,http://www.kappasushi.co.uk/,"Mastercard, Visa","
139 Earls Court", London," SW5 9RH
",True,False,False
256,360,"
Amjadia Indian Restaurant
","Indian, Halal",Casual Dining,+44 20 7935 0885,http://www.amjadia.co.uk/,"Mastercard, Visa","
15 Picton Place", London," W1U 1BW
",True,False,False
257,363,"
Lupins
",British,Casual Dining,+44 20 3908 5888,http://www.lupinslondon.com/,"AMEX, Mastercard, Visa","
66 Union Street", London," SE1 1TD
",True,False,False
258,364,"
33 Abbeville Road
",Contemporary British,Casual Dining,+44 20 8673 0977,http://www.33abbevilleroad.co.uk/,"Mastercard, Visa","
33 Abbeville Road", London," SW4 9LA
",True,False,False
259,366,"
Korova Restaurant
","Contemporary European, French",Casual Dining,+44 7931 903779,http://www.korovarestaurant.com/,"AMEX, Mastercard, Visa","
9 Campdale Road", London," N7 0EA
",True,False,False
262,369,"
The Grill Restaurant
",Grill,Casual Dining,+44 20 8996 5200,http://www.claytonhotelchiswick.com/,"AMEX, Mastercard, Visa","
626 Chiswick High Road", London," W4 5RY
",True,False,False
263,370,"
The Pimlico Grid
","Breakfast, British, European",Casual Dining,+44 20 7834 5163,http://www.thepimlicogrid.com/,"AMEX, Mastercard, Visa","
142-144 Warwick Way", London," SW1V 4JE
",True,False,False
264,371,"
Farang London
",Thaï,Casual Dining,+44 20 7226 1609,http://www.faranglondon.co.uk/,"Mastercard, Visa","
72 Highbury Park", London," N5 2XE
",True,False,False
265,372,"
The Cork & Bottle - Paddington
","Contemporary European, Comfort food, British",Casual Dining,+44 20 7262 1485,http://www.thecorkandbottle.co.uk/paddington/,"AMEX, Mastercard, Visa","
27 Spring Street", London," W2 1JA
",True,False,False
269,377,"
Foley's Restaurant
","Asian, Thaï, Tapas / Small Plates",Casual Dining,+44 20 7636 4562,http://foleysrestaurant.co.uk/,"AMEX, Mastercard, Visa","
23 Foley Street", London," W1W 6DU
",True,False,False
270,378,"
The Italian Job Chiswick
","Italian, Contemporary Italian, Pub",Casual Dining,+44 20 8994 2852,http://www.theitalianjobpub.co.uk/,"AMEX, Mastercard, Visa","
13 Devonshire Road Chiswick", London," W4 2EU
",True,False,False
271,379,"
Champs Sports Bar & Grill- Ilford
",American,Casual Dining,+44 20 8553 5114,http://www.champsilford.co.uk/,"AMEX, Diners Club, Mastercard, Visa","
19-21 Chapel Road", London," IG1 2AF
",True,False,False
272,380,"
Senor Ceviche - Charlotte Street
","Peruvian, Latin American, Tapas / Small Plates",Casual Dining,+44 20 7842 8540,http://www.senor-ceviche.com/,"AMEX, Mastercard, Visa","
18 Charlotte Street", London," W1T 2LZ
",True,False,False
275,386,"
Fancy Crab
","Seafood, Burgers, International",Casual Dining,+44 20 3096 9484,http://www.fancycrab.co.uk/,"AMEX, Mastercard, Visa","
92 Wigmore Street", London," W1U 3Rd
",True,False,False
276,388,"
Patara - Wimbledon
","Thaï, Asian, Cocktail bar",Casual Dining,+44 20 3149 2911,http://www.pataralondon.com/,"AMEX, Mastercard, Visa","
18 High Street", London," SW19 5DX
",True,False,False
277,389,"
Nippon Izakaya
","Japanese, Sushi",Casual Dining,+44 20 8343 9008,http://nipponizakaya.co.uk/,"Mastercard, Visa","
843 High Road", London," N12 8PT
",True,False,False
279,391,"
Riverside Fish and Steak House
","Seafood, Steak, Fish",Casual Dining,+44 1322 336460,https://www.riversidefishandsteakhouseerith.co.uk/,"AMEX, Mastercard, Visa","
16 Town Square", London," DA8 1RE
",True,False,False
280,392,"
Sushi Bar Atariya
","Sushi, Japanese",Casual Dining,+44 20 7328 5338,http://www.sushibaratariya.co.uk/swiss-cottage.html,"Mastercard, Visa","
75 Fairfax Road", London," NW6 4EE
",True,False,False
282,394,"
Comptoir Café and Wine
","Wine Bar, French",Casual Dining,+44 20 7499 9800,http://www.comptoir-cafe-and-wine.co.uk/,"AMEX, Mastercard, Visa","
21-22 Weighhouse Street", London," W1K 5LY
",True,False,False
283,395,"
Camino Shoreditch
",Spanish,Casual Dining,+44 20 3948 5003,http://www.camino.uk.com/,"AMEX, Mastercard, Visa","
2 Curtain Road", London," EC2A 3BL
",True,False,False
285,398,"
The Wigmore
",Pub,Casual Dining,+44 20 7965 0198,http://www.the-wigmore.co.uk/,"AMEX, Mastercard, Visa","
15 Langham Place Upper Regent Street", London," W1B 1JA
",True,False,False
286,399,"
Delamina
","Mediterranean, Middle Eastern, Home cooking",Casual Dining,+44 20 3026 6810,http://www.delaminamarylebone.co.uk/,"AMEX, Diners Club, JCB, Mastercard, Visa","
56-58 Marylebone Lane", London," W1U 2NX
",True,False,False
287,400,"
Omnino Brazilian Barbecue
","Steak, South American, Latin American",Casual Dining,+44 20 3490 3132,http://www.omninorestaurants.com/,"AMEX, Mastercard, Visa","
7-9 St Bride Street", London," EC4A 4AS
",True,False,False
288,402,"
VQ Aldgate
",International,Casual Dining,+44 20 3301 7224,https://www.vqrestaurants.com/locations/aldgate,"AMEX, Mastercard, Visa","
9 Aldgate High St", London," EC3N 1AH
",True,False,False
289,403,"
Stecca
",Italian,Casual Dining,+44 20 7460 2322,http://www.stecca.co.uk/,"AMEX, Mastercard, Visa","
14 Hollywood Road", London," SW10 9HY
",True,False,False
290,404,"
El Vino Olde Wine Shades
","Tapas / Small Plates, Mediterranean, Winery",Casual Dining,+44 20 7626 6876,https://www.davy.co.uk/wine-bar/the-olde-wine-shades/,"AMEX, Mastercard, Visa","
6 Martin Lane", London," EC4R 0DP
",True,False,False
291,405,"
Go Viet
","Vietnamese, Asian, Fusion / Eclectic",Casual Dining,+44 20 7589 6432,http://vietnamfood.co.uk/,"AMEX, Mastercard, Visa","
53 Old Brompton Road", London," SW7 3JS
",True,False,False
292,406,"
Artesian Bar
","Bar / Lounge / Bottle Service, Burgers, Tapas / Small Plates",Casual Dining,+44 20 7636 1000,http://www.artesian-bar.co.uk/,"AMEX, Mastercard, Visa","
1C Portland Place", London," W1B 1JA
",True,False,False
293,409,"
Tanakatsu
","Japanese, Sushi",Casual Dining,+44 121 389 4111,http://tanakatsu.co.uk/,"Mastercard, Visa","
10 Wakley Street", London," EC1V 7LT
",True,False,False
294,411,"
Bordelaise
","French, Steakhouse, Regional French (Southwestern)",Casual Dining,+44 20 8767 5008,http://bordelaise.co.uk/,"Mastercard, Visa","
Units 9-11 Broadway Market", London," SW17 0RJ
",True,False,False
296,416,"
Navarro's Restaurant
","Spanish, Tapas / Small Plates",Casual Dining,+44 20 7637 7713,http://www.navarros-tapas-london.co.uk/,"AMEX, Mastercard, Visa","
67 Charlotte Street", London," W1T 4PH
",True,False,False
297,417,"
Dirty Bones Soho
","American, Comfort food, Burgers",Casual Dining,+44 20 3019 9064,http://www.dirty-bones.com/,"Mastercard, Visa","
14 Denman Street", London," W1D 7HJ
",True,False,False
298,418,"
Dirty Bones Carnaby
","American, Comfort food, Burgers",Casual Dining,+44 20 3019 9062,http://www.dirty-bones.com/,"Mastercard, Visa","
Top Floor", Kingly Court Carnaby Street, London,True,False,False
299,419,"
Dirty Bones Shoreditch
","American, Comfort food, Burgers",Casual Dining,+44 20 3019 9063,http://www.dirty-bones.com/,"Mastercard, Visa","
1 Club Row", London," E1 6JX
",True,False,False
301,421,"
Afternoon Tea At Park Terrace
",Afternoon Tea,Casual Dining,+44 20 7361 0602,http://www.royalgardenhotel.co.uk/,"AMEX, Diners Club, Mastercard, Visa","
2-24 Kensington High Street", London," W8 4PT
",True,False,False
302,422,"
Dukes London - Afternoon Tea
",Afternoon Tea,Casual Dining,+44 20 7361 0602,http://www.royalgardenhotel.co.uk/,"AMEX, Mastercard, Visa","
35 Saint James's Place", London," SW1A 1NY
",True,False,False
303,423,"
Curtis Caribbean Grill & Specialty Cakes
",Caribbean,Casual Dining,+44 20 3489 9119,http://www.facebook.com/curtiscaribbean,"Mastercard, Visa","
216 Middle Lane", London," N8 7LA
",True,False,False
306,432,"
The Grafton Arms
",Gastro Pub,Casual Dining,+44 20 7387 7923,http://www.graftonarms.co.uk/,"AMEX, Mastercard, Visa","
72 Grafton Way", London," W1T 5DU
",True,False,False
307,433,"
Piccola Italia Ealing
","Italian, Vegan, Seafood",Casual Dining,+44 20 8840 0700,http://www.piccolaitaliaealing.com/,"AMEX, Mastercard, Pay with OpenTable, Visa","
21 The Green", London," W5 5DA
",True,False,False
308,434,"
Tupi
","Global, International, South American, Italian",Casual Dining,+44 20 7635 5949,http://tupilondon.com/,"AMEX, Mastercard, Visa","
206 Rye Lane", London," SE15 4NL
",True,False,False
309,435,"
The Running Horse
",British,Casual Dining,+44 20 3883 8286,http://www.therunninghorsealdgate.co.uk/,"AMEX, Mastercard, Visa","
7 Piazza Walk Leman Street", London," E1 8FU
",True,False,False
311,438,"
Fiume
",Italian,Casual Dining,+44 20 3904 9010,http://www.fiume-restaurant.co.uk/,"Mastercard, Visa","
Circus West", London," SW8 5BN
",True,False,False
312,440,"
Moc Kitchen
",Vietnamese,Casual Dining,+44 20 7839 1420,http://mockitchen.co.uk/,"AMEX, Mastercard, Visa","
Unit 2",9,10 The Arches,True,False,False
313,441,"
The Drunken Butler
","French, Persian",Casual Dining,+44 20 7101 4020,http://www.thedrunkenbutler.com/,"AMEX, Mastercard, Visa","
20 Rosebery Avenue", London," EC1R 4SX
",True,False,False
314,442,"
Dirty Bones Kensington
","American, Comfort food, Burgers",Casual Dining,+44 20 3019 9061,http://www.dirty-bones.com/,"Mastercard, Visa","
20 Kensington Church Street", London," W8 4EP
",True,False,False
315,443,"
Afternoon Tea at Fifth Floor Bar
",Afternoon Tea,Casual Dining,+44 20 7235 5250,http://www.harveynichols.com/restaurant/knightsbridge-dining/cafe-and-terrace,"AMEX, Mastercard, Visa","
109-125 Knightsbridge Belgravia", London," SW1X 7RJ
",True,False,False
